start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
70,71,PASS,Away,23,Away,20,1
161,169,PASS,Away,20,Away,18,8
263,266,PASS,Away,18,Away,17,3
332,333,PASS,Away,17,Away,16,1
411,412,PASS,Away,16,Away,15,1
452,453,TURNOVER,Away,15,Home,8,1
468,473,PASS,Home,8,Home,4,5
495,496,TURNOVER,Home,4,Away,23,1
500,501,TURNOVER,Away,23,Home,3,1
504,505,TURNOVER,Home,3,Away,23,1
513,514,TURNOVER,Away,23,Home,4,1
690,703,PASS,Away,15,Away,16,13
785,792,PASS,Away,16,Away,17,7
872,900,PASS,Away,17,Away,16,28
939,940,PASS,Away,16,Away,15,1
965,966,TURNOVER,Away,15,Home,10,1
989,992,TURNOVER,Home,10,Away,16,3
1022,1023,TURNOVER,Away,16,Home,10,1
1039,1073,PASS,Home,10,Home,6,34
1084,1085,TURNOVER,Home,6,Away,23,1
1101,1102,PASS,Away,23,Away,21,1
1162,1163,PASS,Away,21,Away,20,1
1179,1180,TURNOVER,Away,20,Home,9,1
1200,1207,TURNOVER,Home,9,Away,18,7
1293,1294,TURNOVER,Away,18,Home,5,1
1311,1312,TURNOVER,Home,5,Away,24,1
1397,1398,TURNOVER,Away,24,Home,5,1
1411,1412,PASS,Home,5,Home,1,1
1483,1484,PASS,Home,1,Home,11,1
1504,1505,PASS,Home,11,Home,2,1
1527,1528,PASS,Home,2,Home,6,1
1556,1560,TURNOVER,Home,6,Away,18,4
1576,1577,TURNOVER,Away,18,Home,9,1
1582,1583,TURNOVER,Home,9,Away,17,1
1599,1600,PASS,Away,17,Away,16,1
1623,1624,PASS,Away,16,Away,20,1
1651,1652,TURNOVER,Away,20,Home,6,1
1668,1669,PASS,Home,6,Home,7,1
1670,1671,PASS,Home,7,Home,6,1
1678,1679,TURNOVER,Home,6,Away,24,1
1682,1683,TURNOVER,Away,24,Home,7,1
1709,1710,TURNOVER,Home,7,Away,24,1
1739,1740,PASS,Away,24,Away,21,1
1799,1823,PASS,Away,21,Away,15,24
1847,1848,TURNOVER,Away,15,Home,8,1
1863,1864,PASS,Home,8,Home,7,1
1891,1898,PASS,Home,7,Home,8,7
1917,1918,TURNOVER,Home,8,Away,15,1
1953,1974,PASS,Away,15,Away,16,21
2044,2060,PASS,Away,16,Away,17,16
2215,2225,PASS,Away,17,Away,16,10
2300,2304,PASS,Away,16,Away,15,4
2353,2354,TURNOVER,Away,15,Home,8,1
2363,2364,TURNOVER,Home,8,Away,19,1
2371,2372,TURNOVER,Away,19,Home,4,1
2387,2388,TURNOVER,Home,4,Away,24,1
2411,2412,TURNOVER,Away,24,Home,3,1
2416,2417,TURNOVER,Home,3,Away,24,1
2431,2432,PASS,Away,24,Away,19,1
2436,2437,TURNOVER,Away,19,Home,8,1
2469,2470,TURNOVER,Home,8,Away,19,1
2483,2484,TURNOVER,Away,19,Home,4,1
2528,2529,PASS,Home,4,Home,3,1
2618,2626,TURNOVER,Home,3,Away,23,8
2656,2664,TURNOVER,Away,23,Home,5,8
2678,2679,TURNOVER,Home,5,Away,22,1
2700,2701,TURNOVER,Away,22,Home,1,1
2713,2714,TURNOVER,Home,1,Away,22,1
2727,2728,TURNOVER,Away,22,Home,5,1
2791,2792,TURNOVER,Home,5,Away,23,1
2806,2807,TURNOVER,Away,23,Home,6,1
2918,2919,PASS,Home,6,Home,10,1
2926,2927,TURNOVER,Home,10,Away,17,1
2940,2952,TURNOVER,Away,17,Home,1,12
3000,3001,TURNOVER,Home,1,Away,22,1
3009,3010,PASS,Away,22,Away,18,1
3025,3026,PASS,Away,18,Away,17,1
3091,3100,PASS,Away,17,Away,18,9
3132,3133,TURNOVER,Away,18,Home,1,1
3146,3147,TURNOVER,Home,1,Away,22,1
3159,3160,TURNOVER,Away,22,Home,5,1
3170,3175,TURNOVER,Home,5,Away,23,5
3209,3210,TURNOVER,Away,23,Home,3,1
3265,3295,PASS,Home,3,Home,11,30
3359,3377,PASS,Home,11,Home,2,18
3446,3447,PASS,Home,2,Home,5,1
3513,3514,TURNOVER,Home,5,Away,22,1
3521,3522,TURNOVER,Away,22,Home,9,1
3607,3608,TURNOVER,Home,9,Away,20,1
