start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
1,2,TURNOVER,Away,19,Home,10,1
9,15,TURNOVER,Home,10,Away,15,6
49,50,TURNOVER,Away,15,Home,9,1
57,59,TURNOVER,Home,9,Away,19,2
85,91,PASS,Away,19,Away,21,6
199,215,PASS,Away,21,Away,22,16
290,298,PASS,Away,22,Away,17,8
350,351,TURNOVER,Away,17,Home,5,1
359,377,PASS,Home,5,Home,2,18
386,387,TURNOVER,Home,2,Away,18,1
399,400,TURNOVER,Away,18,Home,6,1
413,428,PASS,Home,6,Home,10,15
440,441,TURNOVER,Home,10,Away,16,1
454,455,PASS,Away,16,Away,20,1
459,460,TURNOVER,Away,20,Home,10,1
466,484,TURNOVER,Home,10,Away,18,18
488,489,TURNOVER,Away,18,Home,2,1
499,500,TURNOVER,Home,2,Away,18,1
508,521,PASS,Away,18,Away,19,13
532,533,TURNOVER,Away,19,Home,9,1
542,543,TURNOVER,Home,9,Away,20,1
549,550,TURNOVER,Away,20,Home,10,1
573,574,TURNOVER,Home,10,Away,15,1
585,599,PASS,Away,15,Away,16,14
772,778,PASS,Away,16,Away,19,6
792,801,PASS,Away,19,Away,20,9
843,878,PASS,Away,20,Away,22,35
984,1006,PASS,Away,22,Away,17,22
1118,1133,TURNOVER,Away,17,Home,5,15
1143,1148,PASS,Home,5,Home,6,5
1162,1172,PASS,Home,6,Home,10,10
1231,1232,TURNOVER,Home,10,Away,19,1
1241,1263,TURNOVER,Away,19,Home,8,22
1372,1373,TURNOVER,Home,8,Away,15,1
2160,2178,PASS,Home,6,Home,10,18
2263,2264,TURNOVER,Home,10,Away,18,1
2272,2284,PASS,Away,18,Away,15,12
2286,2287,TURNOVER,Away,15,Home,9,1
2288,2289,TURNOVER,Home,9,Away,22,1
2292,2293,TURNOVER,Away,22,Home,2,1
2295,2296,TURNOVER,Home,2,Away,16,1
3684,3697,PASS,Away,19,Away,21,13
3789,3801,PASS,Away,21,Away,20,12
3837,3851,PASS,Away,20,Away,22,14
3890,3903,PASS,Away,22,Away,17,13
3938,3990,PASS,Away,17,Away,25,52
4400,4422,TURNOVER,Home,1,Away,20,22
4431,4432,TURNOVER,Away,20,Home,10,1
4446,4447,TURNOVER,Home,10,Away,19,1
4501,4502,TURNOVER,Away,19,Home,1,1
4627,4637,PASS,Home,1,Home,5,10
4641,4642,TURNOVER,Home,5,Away,22,1
4652,4670,PASS,Away,22,Away,17,18
4675,4676,TURNOVER,Away,17,Home,9,1
4678,4679,TURNOVER,Home,9,Away,17,1
4716,4748,PASS,Away,17,Away,23,32
4749,4750,TURNOVER,Away,23,Home,7,1
4755,4756,TURNOVER,Home,7,Away,24,1
4761,4779,TURNOVER,Away,24,Home,6,18
4792,4817,TURNOVER,Home,6,Away,17,25
5067,5077,PASS,Away,22,Away,19,10
5089,5147,TURNOVER,Away,19,Home,2,58
5158,5189,PASS,Home,2,Home,1,31
5227,5228,TURNOVER,Home,1,Away,19,1
5247,5248,TURNOVER,Away,19,Home,1,1
5321,5322,TURNOVER,Home,1,Away,21,1
5332,5333,TURNOVER,Away,21,Home,5,1
5337,5338,TURNOVER,Home,5,Away,22,1
5347,5365,TURNOVER,Away,22,Home,9,18
5370,5371,TURNOVER,Home,9,Away,17,1
5386,5387,TURNOVER,Away,17,Home,9,1
5398,5405,TURNOVER,Home,9,Away,20,7
5433,5434,TURNOVER,Away,20,Home,6,1
5441,5468,TURNOVER,Home,6,Away,18,27
5503,5504,TURNOVER,Away,18,Home,8,1
5505,5506,TURNOVER,Home,8,Away,18,1
5510,5511,TURNOVER,Away,18,Home,4,1
5531,5550,TURNOVER,Home,4,Away,18,19
5625,5626,TURNOVER,Away,18,Home,1,1
5632,5633,TURNOVER,Home,1,Away,18,1
5643,5644,TURNOVER,Away,18,Home,2,1
5672,5680,PASS,Home,2,Home,8,8
5773,5804,PASS,Home,8,Home,10,31
5924,5925,TURNOVER,Home,10,Away,15,1
6693,6775,TURNOVER,Away,25,Home,8,82
6781,6782,TURNOVER,Home,8,Away,18,1
6790,6843,TURNOVER,Away,18,Home,6,53
6873,6874,TURNOVER,Home,6,Away,20,1
6913,6916,TURNOVER,Away,20,Home,5,3
6927,6942,TURNOVER,Home,5,Away,22,15
6993,7000,TURNOVER,Away,22,Home,1,7
7005,7011,TURNOVER,Home,1,Away,23,6
7015,7016,TURNOVER,Away,23,Home,2,1
7025,7035,PASS,Home,2,Home,3,10
7046,7047,TURNOVER,Home,3,Away,24,1
7051,7052,TURNOVER,Away,24,Home,4,1
7200,7201,TURNOVER,Home,4,Away,18,1
7223,7248,TURNOVER,Away,18,Home,4,25
7257,7258,TURNOVER,Home,4,Away,21,1
7272,7273,TURNOVER,Away,21,Home,4,1
7285,7286,TURNOVER,Home,4,Away,18,1
7352,7381,PASS,Away,18,Away,15,29
7411,7419,TURNOVER,Away,15,Home,7,8
7423,7424,TURNOVER,Home,7,Away,23,1
7470,7471,TURNOVER,Away,23,Home,3,1
7475,7476,TURNOVER,Home,3,Away,23,1
7481,7482,TURNOVER,Away,23,Home,7,1
7490,7517,TURNOVER,Home,7,Away,19,27
7529,7551,PASS,Away,19,Away,18,22
7612,7627,PASS,Away,18,Away,19,15
7702,7723,PASS,Away,19,Away,21,21
7753,7754,TURNOVER,Away,21,Home,7,1
7755,7756,PASS,Home,7,Home,6,1
7761,7763,PASS,Home,6,Home,3,2
8489,8540,TURNOVER,Home,11,Away,24,51
8550,8553,TURNOVER,Away,24,Home,7,3
8559,8569,PASS,Home,7,Home,10,10
8571,8572,TURNOVER,Home,10,Away,15,1
8579,8580,TURNOVER,Away,15,Home,10,1
8586,8587,TURNOVER,Home,10,Away,15,1
8666,8678,PASS,Away,15,Away,16,12
8690,8691,TURNOVER,Away,16,Home,10,1
8700,8733,PASS,Home,10,Home,8,33
8791,8792,TURNOVER,Home,8,Away,18,1
8877,8887,PASS,Away,18,Away,19,10
8945,9048,PASS,Away,19,Away,23,103
9053,9054,TURNOVER,Away,23,Home,2,1
9059,9060,PASS,Home,2,Home,3,1
9107,9214,TURNOVER,Home,3,Away,23,107
9224,9251,PASS,Away,23,Away,18,27
9314,9332,PASS,Away,18,Away,19,18
9348,9349,TURNOVER,Away,19,Home,9,1
9352,9353,PASS,Home,9,Home,6,1
9398,9423,TURNOVER,Home,6,Away,15,25
9434,9437,TURNOVER,Away,15,Home,10,3
9601,9602,TURNOVER,Home,10,Away,16,1
9614,9619,TURNOVER,Away,16,Home,8,5
9629,9630,TURNOVER,Home,8,Away,25,1
9645,9646,TURNOVER,Away,25,Home,8,1
10401,10411,PASS,Home,6,Home,10,10
10464,10468,PASS,Home,10,Home,6,4
10494,10495,TURNOVER,Home,6,Away,24,1
10503,10524,TURNOVER,Away,24,Home,5,21
10555,10556,TURNOVER,Home,5,Away,23,1
10566,10594,TURNOVER,Away,23,Home,7,28
10620,10626,TURNOVER,Home,7,Away,19,6
10629,10630,PASS,Away,19,Away,22,1
10633,10634,TURNOVER,Away,22,Home,8,1
10637,10638,TURNOVER,Home,8,Away,20,1
10644,10645,PASS,Away,20,Away,15,1
10649,10650,TURNOVER,Away,15,Home,9,1
10651,10652,TURNOVER,Home,9,Away,15,1
10657,10658,TURNOVER,Away,15,Home,9,1
10666,10692,TURNOVER,Home,9,Away,22,26
10706,10707,TURNOVER,Away,22,Home,8,1
10728,10729,PASS,Home,8,Home,3,1
10747,10748,TURNOVER,Home,3,Away,22,1
10752,10753,PASS,Away,22,Away,15,1
10767,10768,PASS,Away,15,Away,22,1
10770,10771,PASS,Away,22,Away,17,1
11593,11615,PASS,Away,25,Away,17,22
11684,11697,PASS,Away,17,Away,22,13
