start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
2512,2512,PASS,Home,11885,Home,51013,successful
2591,2591,PASS,Home,811820,Home,11117,successful
2623,2623,PASS,Home,11117,Home,50955,successful
2934,2934,PASS,Home,157294,Home,51678,successful
3072,3072,PASS,Home,811820,Home,51685,successful
3106,3106,PASS,Home,51685,Home,51013,successful
3170,3170,PASS,Away,4322,Away,133501,successful
3204,3204,PASS,Home,157294,Home,811820,successful
3211,3211,PASS,Home,811820,Home,11885,successful
3322,3322,PASS,Away,38673,Away,582974,successful
3378,3378,PASS,Away,582974,Away,624628,successful
3407,3407,PASS,Away,624628,Away,,successful
3527,3527,PASS,Home,811820,Home,159688,successful
3555,3555,PASS,Home,159688,Home,157294,successful
3567,3567,PASS,Home,157294,Home,159688,successful
3587,3587,PASS,Home,159688,Home,51685,successful
3618,3618,PASS,Home,51685,Home,157294,successful
3824,3824,PASS,Home,800322,Home,51013,successful
3852,3852,PASS,Home,51013,Home,51678,successful
3906,3906,PASS,Away,51667,Away,23418,successful
3931,3931,PASS,Away,23418,Away,4322,successful
3984,3984,PASS,Away,4322,Away,51667,successful
4021,4021,PASS,Away,51667,Away,33697,successful
4305,4305,PASS,Away,33697,Away,133498,successful
4664,4664,PASS,Away,33697,Away,285188,successful
4720,4720,PASS,Away,285188,Away,33697,successful
4757,4757,PASS,Away,33697,Away,51667,successful
4893,4893,PASS,Home,50955,Home,11117,successful
5343,5343,PASS,Home,811820,Home,50955,successful
5474,5474,PASS,Home,51685,Home,51013,successful
5504,5504,PASS,Home,51013,Home,800322,successful
5527,5527,PASS,Home,800322,Home,29075,successful
5541,5541,PASS,Home,29075,Home,11885,successful
5570,5570,PASS,Away,133498,Away,285188,successful
5605,5605,PASS,Away,285188,Away,133501,successful
5630,5630,PASS,Home,51685,Home,811820,successful
5658,5658,PASS,Home,811820,Home,50955,successful
5895,5895,PASS,Home,50955,Home,11117,successful
5942,5942,PASS,Home,11117,Home,159688,successful
5966,5966,PASS,Away,51667,Away,38673,successful
6009,6009,PASS,Home,159688,Home,157294,successful
6058,6058,PASS,Home,157294,Home,11117,successful
6110,6110,PASS,Home,11117,Home,11885,successful
6120,6120,PASS,Home,11885,Home,11117,successful
6167,6167,PASS,Home,11117,Home,11885,successful
6180,6180,PASS,Home,11885,Home,50955,successful
6191,6191,PASS,Home,50955,Home,11885,successful
6284,6284,PASS,Home,811820,Home,11117,successful
6304,6304,PASS,Home,11117,Home,50955,successful
6313,6313,PASS,Home,50955,Home,11117,successful
6405,6405,PASS,Home,11117,Home,50955,successful
6522,6522,PASS,Home,11885,Home,11117,successful
6538,6538,PASS,Home,11117,Home,811820,successful
6546,6546,PASS,Home,811820,Home,50955,successful
6591,6591,PASS,Home,50955,Home,29075,successful
6617,6617,PASS,Home,29075,Home,157294,successful
6742,6742,PASS,Home,51685,Home,811820,successful
6777,6777,PASS,Home,811820,Home,11117,successful
6785,6785,PASS,Home,11117,Home,50955,successful
6824,6824,PASS,Home,51685,Home,159688,successful
6840,6840,PASS,Home,159688,Home,157294,successful
6853,6853,PASS,Home,157294,Home,11885,successful
6873,6873,PASS,Home,11885,Home,50955,successful
6895,6895,PASS,Home,50955,Home,11885,successful
7006,7006,PASS,Home,29075,Home,50955,successful
7041,7041,PASS,Home,50955,Home,11885,successful
7048,7048,PASS,Home,11885,Home,29075,successful
7477,7477,PASS,Away,23418,Away,38673,successful
7549,7549,PASS,Home,159688,Home,51685,successful
7599,7599,PASS,Home,51685,Home,811820,successful
7611,7611,PASS,Home,811820,Home,51013,successful
7649,7649,PASS,Home,51013,Home,157294,successful
7687,7687,PASS,Away,14736,Away,582974,successful
8675,8675,PASS,Away,23418,Away,51667,successful
8694,8694,PASS,Away,51667,Away,285188,successful
8721,8721,PASS,Away,285188,Away,4322,successful
8947,8947,PASS,Home,51685,Home,51678,successful
9172,9172,PASS,Away,14736,Away,4322,successful
9218,9218,PASS,Away,38673,Away,133498,successful
9252,9252,PASS,Away,133498,Away,582974,successful
9748,9748,PASS,Away,51667,Away,14736,successful
9788,9788,PASS,Away,14736,Away,582974,successful
9839,9839,PASS,Away,582974,Away,133498,successful
9911,9911,PASS,Home,11117,Home,11885,successful
9937,9937,PASS,Home,11885,Home,157294,successful
9954,9954,PASS,Home,157294,Home,51685,successful
9984,9984,PASS,Home,51685,Home,811820,successful
10035,10035,PASS,Home,811820,Home,159688,successful
10061,10061,PASS,Home,159688,Home,51685,successful
10088,10088,PASS,Home,51685,Home,51013,successful
10116,10116,PASS,Home,51013,Home,800322,successful
10147,10147,PASS,Home,800322,Home,51013,successful
10212,10212,PASS,Home,51013,Home,51685,successful
10242,10242,PASS,Home,51685,Home,811820,successful
10256,10256,PASS,Home,811820,Home,50955,successful
10266,10266,PASS,Home,50955,Home,159688,successful
10275,10275,PASS,Home,159688,Home,811820,successful
10286,10286,PASS,Home,811820,Home,51685,successful
10310,10310,PASS,Home,51685,Home,51013,successful
10626,10626,PASS,Home,51013,Home,50955,successful
10673,10673,PASS,Away,14736,Away,133501,successful
10846,10846,PASS,Home,157294,Home,50955,successful
10998,10998,PASS,Home,159688,Home,50955,successful
11046,11046,PASS,Home,157294,Home,159688,successful
11061,11061,PASS,Home,159688,Home,157294,successful
11066,11066,PASS,Home,157294,Home,51685,successful
11115,11115,PASS,Home,51685,Home,51013,successful
11137,11137,PASS,Home,51013,Home,11885,successful
11162,11162,PASS,Home,11885,Home,800322,successful
11200,11200,PASS,Home,800322,Home,11885,successful
11212,11212,PASS,Home,11885,Home,11117,successful
11224,11224,PASS,Home,11117,Home,11885,successful
11238,11238,PASS,Away,38673,Away,,successful
11263,11263,PASS,Home,800322,Home,11117,successful
11277,11277,PASS,Home,11117,Home,11885,successful
11417,11417,PASS,Home,51678,Home,51685,successful
11441,11441,PASS,Home,51685,Home,811820,successful
11472,11472,PASS,Home,811820,Home,50955,successful
11505,11505,PASS,Home,50955,Home,51685,successful
11635,11635,PASS,Home,800322,Home,51013,successful
11682,11682,PASS,Home,51013,Home,51685,successful
11730,11730,PASS,Home,51685,Home,50955,successful
11762,11762,PASS,Home,50955,Home,11117,successful
11853,11853,PASS,Home,50955,Home,159688,successful
11911,11911,PASS,Home,159688,Home,51013,successful
11970,11970,PASS,Home,51013,Home,51685,successful
11988,11988,PASS,Home,51685,Home,50955,successful
11999,11999,PASS,Home,50955,Home,159688,successful
12041,12041,PASS,Home,159688,Home,811820,successful
12086,12086,PASS,Home,811820,Home,11117,successful
12164,12164,PASS,Home,51685,Home,51013,successful
12232,12232,PASS,Home,51013,Home,800322,successful
12268,12268,PASS,Home,800322,Home,51685,successful
12314,12314,PASS,Home,51685,Home,811820,successful
12330,12330,PASS,Home,811820,Home,11117,successful
12337,12337,PASS,Home,11117,Home,159688,successful
12389,12389,PASS,Home,159688,Home,811820,successful
12407,12407,PASS,Home,811820,Home,11885,successful
12816,12816,PASS,Home,159688,Home,11885,successful
12987,12987,PASS,Away,582974,Away,624628,successful
13761,13761,PASS,Home,51685,Home,157294,successful
13827,13827,PASS,Away,133498,Away,23418,successful
13904,13904,PASS,Home,11117,Home,159688,successful
15057,15057,PASS,Home,811820,Home,51685,successful
15079,15079,PASS,Home,51685,Home,51678,successful
15194,15194,PASS,Home,51685,Home,811820,successful
15230,15230,PASS,Home,811820,Home,51685,successful
15252,15252,PASS,Home,51685,Home,29075,successful
15303,15303,PASS,Home,11117,Home,29075,successful
15376,15376,PASS,Home,29075,Home,50955,successful
15391,15391,PASS,Away,4322,Away,33697,successful
15463,15463,PASS,Away,38673,Away,582974,successful
16547,16547,PASS,Away,33697,Away,133501,successful
16572,16572,PASS,Away,133501,Away,4322,successful
16984,16984,PASS,Away,285188,Away,51667,successful
17006,17006,PASS,Away,51667,Away,33697,successful
17078,17078,PASS,Away,33697,Away,51667,successful
17125,17125,PASS,Away,51667,Away,133498,successful
17545,17545,PASS,Home,11117,Home,50955,successful
17553,17553,PASS,Home,50955,Home,11117,successful
17915,17915,PASS,Home,51013,Home,11885,successful
18075,18075,PASS,Home,159688,Home,51013,successful
18131,18131,PASS,Home,51013,Home,800322,successful
18162,18162,PASS,Home,800322,Home,11117,successful
18210,18210,PASS,Away,33697,Away,23418,successful
18239,18239,PASS,Away,23418,Away,14736,successful
18533,18533,PASS,Away,23418,Away,33697,successful
18553,18553,PASS,Away,33697,Away,51667,successful
18579,18579,PASS,Away,51667,Away,4322,successful
18815,18815,PASS,Away,51667,Away,33697,successful
18892,18892,PASS,Away,33697,Away,51667,successful
18934,18934,PASS,Away,51667,Away,38673,successful
18951,18951,PASS,Away,38673,Away,4322,successful
18978,18978,PASS,Away,4322,Away,51667,successful
19007,19007,PASS,Away,51667,Away,23418,successful
19032,19032,PASS,Away,23418,Away,33697,successful
19074,19074,PASS,Away,33697,Away,133498,successful
19113,19113,PASS,Away,133498,Away,14736,successful
19121,19121,PASS,Away,14736,Away,582974,successful
19151,19151,PASS,Away,582974,Away,133498,successful
19174,19174,PASS,Away,582974,Away,14736,successful
19617,19617,PASS,Away,23418,Away,133498,successful
20195,20195,PASS,Home,811820,Home,159688,successful
20270,20270,PASS,Away,23418,Away,133501,successful
20300,20300,PASS,Away,133501,Away,624628,successful
20328,20328,PASS,Away,624628,Away,582974,successful
21142,21142,PASS,Away,33697,Away,582974,successful
21212,21212,PASS,Home,51685,Home,157294,successful
21240,21240,PASS,Home,29075,Home,11117,successful
21280,21280,PASS,Home,11117,Home,11885,successful
21319,21319,PASS,Home,11885,Home,11117,successful
21325,21325,PASS,Home,11117,Home,157294,successful
21336,21336,PASS,Home,157294,Home,800322,successful
21348,21348,PASS,Home,800322,Home,51013,successful
21374,21374,PASS,Home,51013,Home,51685,successful
21411,21411,PASS,Home,51685,Home,811820,successful
21434,21434,PASS,Home,811820,Home,51685,successful
21462,21462,PASS,Home,51685,Home,51013,successful
21485,21485,PASS,Home,51013,Home,800322,successful
21519,21519,PASS,Home,800322,Home,11117,successful
21943,21943,PASS,Home,50955,Home,811820,successful
22044,22044,PASS,Away,133498,Away,51667,successful
22084,22084,PASS,Away,51667,Away,14736,successful
22098,22098,PASS,Away,14736,Away,4322,successful
22123,22123,PASS,Away,4322,Away,133501,successful
22151,22151,PASS,Away,133501,Away,38673,successful
22540,22540,PASS,Away,4322,Away,133501,successful
22567,22567,PASS,Away,133501,Away,51667,successful
22594,22594,PASS,Away,51667,Away,33697,successful
22624,22624,PASS,Away,33697,Away,51667,successful
22644,22644,PASS,Away,51667,Away,38673,successful
22661,22661,PASS,Away,38673,Away,51667,successful
22695,22695,PASS,Away,51667,Away,23418,successful
22706,22706,PASS,Away,23418,Away,51667,successful
22726,22726,PASS,Away,51667,Away,23418,successful
22758,22758,PASS,Away,23418,Away,33697,successful
22793,22793,PASS,Away,33697,Away,4322,successful
22850,22850,PASS,Away,4322,Away,38673,successful
22930,22930,PASS,Away,133501,Away,4322,successful
23519,23519,PASS,Home,51685,Home,51013,successful
23553,23553,PASS,Home,51013,Home,800322,successful
23575,23575,PASS,Home,800322,Home,11885,successful
23587,23587,PASS,Home,11885,Home,800322,successful
23601,23601,PASS,Home,800322,Home,51685,successful
24006,24006,PASS,Home,29075,Home,11117,successful
24088,24088,PASS,Home,51013,Home,159688,successful
24123,24123,PASS,Home,159688,Home,11117,successful
24132,24132,PASS,Home,11117,Home,800322,successful
24191,24191,PASS,Away,133498,Away,624628,successful
24275,24275,PASS,Away,624628,Away,38673,successful
24319,24319,PASS,Away,582974,Away,14736,successful
24803,24803,PASS,Away,33697,Away,624628,successful
24892,24892,PASS,Away,133498,Away,582974,successful
24923,24923,PASS,Away,582974,Away,23418,successful
24938,24938,PASS,Away,23418,Away,14736,successful
24985,24985,PASS,Away,14736,Away,4322,successful
25019,25019,PASS,Away,4322,Away,23418,successful
25048,25048,PASS,Away,23418,Away,38673,successful
25071,25071,PASS,Away,38673,Away,33697,successful
25098,25098,PASS,Away,33697,Away,133498,successful
25127,25127,PASS,Away,133498,Away,23418,successful
25150,25150,PASS,Away,23418,Away,14736,successful
25169,25169,PASS,Away,14736,Away,51667,successful
25201,25201,PASS,Away,51667,Away,4322,successful
25236,25236,PASS,Away,4322,Away,51667,successful
25263,25263,PASS,Away,51667,Away,23418,successful
25314,25314,PASS,Home,51013,Home,159688,successful
25343,25343,PASS,Home,159688,Home,50955,successful
25718,25718,PASS,Away,23418,Away,4322,successful
26071,26071,PASS,Away,51667,Away,23418,successful
