start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
2521,2523,PASS,Home,11885,Home,51013,2
2540,2541,TURNOVER,Home,51013,Away,38673,1
2553,2557,TURNOVER,Away,38673,Home,29075,4
2559,2560,TURNOVER,Home,29075,Away,14736,1
2578,2579,TURNOVER,Away,14736,Home,11117,1
2581,2582,TURNOVER,Home,11117,Away,133501,1
2588,2589,TURNOVER,Away,133501,Home,811820,1
2592,2593,TURNOVER,Home,811820,Away,133501,1
2596,2597,TURNOVER,Away,133501,Home,11117,1
2622,2623,TURNOVER,Home,11117,Away,14736,1
2634,2635,TURNOVER,Away,14736,Home,50955,1
2691,2853,TURNOVER,Home,50955,Away,23418,40
2858,2859,TURNOVER,Away,23418,Home,50955,1
2861,2862,TURNOVER,Home,50955,Away,23418,1
2864,2865,TURNOVER,Away,23418,Home,50955,1
2869,2870,TURNOVER,Home,50955,Away,582974,1
2873,2874,PASS,Away,582974,Away,23418,1
2885,2927,TURNOVER,Away,23418,Home,157294,42
2945,2987,TURNOVER,Home,157294,Away,38673,42
2998,3005,PASS,Away,38673,Away,14736,7
3011,3012,PASS,Away,14736,Away,51667,1
3013,3014,TURNOVER,Away,51667,Home,29075,1
3022,3023,TURNOVER,Home,29075,Away,33697,1
3030,3031,TURNOVER,Away,33697,Home,29075,1
3033,3034,TURNOVER,Home,29075,Away,51667,1
3038,3039,PASS,Away,51667,Away,133501,1
3054,3058,TURNOVER,Away,133501,Home,811820,4
3081,3082,PASS,Home,811820,Home,51685,1
3116,3119,PASS,Home,51685,Home,51013,3
3146,3147,PASS,Home,51013,Home,159688,1
3159,3180,TURNOVER,Home,159688,Away,133501,21
3190,3191,TURNOVER,Away,133501,Home,159688,1
3201,3202,PASS,Home,159688,Home,157294,1
3207,3208,PASS,Home,157294,Home,811820,1
3211,3212,TURNOVER,Home,811820,Away,133501,1
3230,3231,TURNOVER,Away,133501,Home,11885,1
3249,3250,TURNOVER,Home,11885,Away,14736,1
3255,3256,TURNOVER,Away,14736,Home,11885,1
3262,3263,TURNOVER,Home,11885,Away,23418,1
3280,3281,TURNOVER,Away,23418,Home,159688,1
3285,3286,PASS,Home,159688,Home,157294,1
3293,3294,TURNOVER,Home,157294,Away,38673,1
3319,3320,TURNOVER,Away,38673,Home,29075,1
3328,3329,TURNOVER,Home,29075,Away,582974,1
3378,3379,TURNOVER,Away,582974,Home,800322,1
3383,3384,TURNOVER,Home,800322,Away,624628,1
3413,3414,TURNOVER,Away,624628,Home,51013,1
3419,3420,PASS,Home,51013,Home,51685,1
3421,3422,TURNOVER,Home,51685,Away,38673,1
3422,3423,PASS,Away,38673,Away,133501,1
3424,3425,TURNOVER,Away,133501,Home,811820,1
3534,3535,PASS,Home,811820,Home,159688,1
3562,3563,PASS,Home,159688,Home,157294,1
3574,3575,PASS,Home,157294,Home,159688,1
3597,3598,PASS,Home,159688,Home,51685,1
3625,3626,PASS,Home,51685,Home,157294,1
3654,3685,PASS,Home,157294,Home,811820,31
3728,3810,PASS,Home,811820,Home,800322,1
3836,3838,PASS,Home,800322,Home,51013,2
3863,3868,PASS,Home,51013,Home,51678,5
3880,3893,TURNOVER,Home,51678,Away,14736,13
3902,3903,PASS,Away,14736,Away,51667,1
3908,3909,PASS,Away,51667,Away,14736,1
3917,3918,PASS,Away,14736,Away,23418,1
3941,3942,PASS,Away,23418,Away,4322,1
3995,4006,PASS,Away,4322,Away,51667,11
4032,4038,PASS,Away,51667,Away,33697,6
4081,4090,TURNOVER,Away,33697,Home,800322,9
4093,4094,TURNOVER,Home,800322,Away,582974,1
4146,4147,TURNOVER,Away,582974,Home,800322,1
4221,4269,TURNOVER,Home,800322,Away,582974,48
4277,4278,PASS,Away,582974,Away,23418,1
4282,4283,TURNOVER,Away,23418,Home,157294,1
4289,4290,TURNOVER,Home,157294,Away,23418,1
4301,4302,PASS,Away,23418,Away,33697,1
4306,4307,PASS,Away,33697,Away,133498,1
4311,4312,TURNOVER,Away,133498,Home,11885,1
4316,4317,PASS,Home,11885,Home,11117,1
4331,4332,TURNOVER,Home,11117,Away,133501,1
4333,4334,TURNOVER,Away,133501,Home,11117,1
4341,4342,TURNOVER,Home,11117,Away,23418,1
4348,4349,TURNOVER,Away,23418,Home,11885,1
4371,4372,PASS,Home,11885,Home,11117,1
4382,4383,TURNOVER,Home,11117,Away,582974,1
