start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
2515,2524,PASS,Home,11885,Home,51013,9
2869,2870,PASS,Away,23418,Away,582974,1
3076,3084,PASS,Home,811820,Home,51685,8
3110,3120,PASS,Home,51685,Home,51013,10
3144,3148,PASS,Home,51013,Home,159688,4
3201,3203,PASS,Home,159688,Home,157294,2
3208,3209,PASS,Home,157294,Home,811820,1
3287,3288,PASS,Home,159688,Home,157294,1
3419,3420,PASS,Home,51013,Home,51685,1
3532,3536,PASS,Home,811820,Home,159688,4
3560,3564,PASS,Home,159688,Home,157294,4
3573,3577,PASS,Home,157294,Home,159688,4
3593,3600,PASS,Home,159688,Home,51685,7
3623,3627,PASS,Home,51685,Home,157294,4
3649,3702,PASS,Home,157294,Home,811820,53
3722,3810,PASS,Home,811820,Home,800322,7
3830,3840,PASS,Home,800322,Home,51013,10
3909,3910,PASS,Away,51667,Away,14736,1
3917,3919,PASS,Away,14736,Away,23418,2
3936,3943,PASS,Away,23418,Away,4322,7
3989,4008,PASS,Away,4322,Away,51667,19
4026,4040,PASS,Away,51667,Away,33697,14
4075,4096,PASS,Away,33697,Away,582974,21
4278,4279,PASS,Away,582974,Away,23418,1
4297,4304,PASS,Away,23418,Away,33697,7
4317,4318,PASS,Home,11885,Home,11117,1
4346,4353,PASS,Home,11117,Home,11885,7
4371,4372,PASS,Home,11885,Home,11117,1
4511,4538,PASS,Away,582974,Away,133498,27
4601,4602,PASS,Home,157294,Home,11117,1
4669,4689,PASS,Away,33697,Away,285188,20
4706,4736,PASS,Away,285188,Away,33697,30
4762,4773,PASS,Away,33697,Away,51667,11
4831,4832,PASS,Away,51667,Away,14736,1
4837,4843,PASS,Away,14736,Away,133501,6
4879,4880,PASS,Home,159688,Home,50955,1
4933,4948,PASS,Away,23418,Away,582974,15
4967,4982,PASS,Away,133498,Away,33697,15
5326,5335,PASS,Home,51685,Home,811820,9
5348,5350,PASS,Home,811820,Home,50955,2
5479,5489,PASS,Home,51685,Home,51013,10
5509,5515,PASS,Home,51013,Home,800322,6
5549,5557,PASS,Away,33697,Away,133498,8
5575,5583,PASS,Away,133498,Away,285188,8
5636,5655,PASS,Home,51685,Home,811820,19
5663,5664,PASS,Home,811820,Home,50955,1
5707,5708,PASS,Away,38673,Away,14736,1
5746,5747,PASS,Home,50955,Home,159688,1
5801,5887,PASS,Home,159688,Home,11117,1
5888,5889,PASS,Home,11117,Home,50955,1
5957,5958,PASS,Away,14736,Away,23418,1
5961,5962,PASS,Away,23418,Away,14736,1
5972,5984,PASS,Away,14736,Away,38673,12
6064,6065,PASS,Home,157294,Home,11117,1
6123,6124,PASS,Home,11885,Home,11117,1
6172,6173,PASS,Home,11117,Home,11885,1
6187,6188,PASS,Home,11885,Home,50955,1
6209,6221,PASS,Home,11885,Home,11117,12
6398,6399,PASS,Away,133501,Away,14736,1
6528,6529,PASS,Away,23418,Away,4322,1
6551,6553,PASS,Home,811820,Home,50955,2
6592,6593,PASS,Away,14736,Away,23418,1
6629,6630,PASS,Away,14736,Away,23418,1
6695,6696,PASS,Away,51667,Away,33697,1
6747,6755,PASS,Home,51685,Home,811820,8
6782,6783,PASS,Home,811820,Home,11117,1
